,participant,Scene type,Type,Scene number,SS Latency,BP Latency
961,26,Video,AG,14,57039.0,0.0
962,26,Video,AG,9,61479.0,0.0
963,26,Video,AG,2,67293.0,0.0
964,26,Video,AG,12,72546.0,74280.0
965,26,Video,G,1,78444.0,0.0
966,26,Video,A,8,83994.0,85923.0
967,26,Video,A,5,89595.0,90933.0
968,26,Video,control,16,94671.0,0.0
969,26,Video,G,15,99930.0,101850.0
970,26,Video,AG,7,105267.0,106995.0
971,26,Video,AG,13,111096.0,113130.0
972,26,Video,A,6,116505.0,0.0
973,26,Video,A,3,121362.0,0.0
974,26,Video,G,10,126411.0,0.0
975,26,Video,AG,4,132060.0,133206.0
976,26,Video,A,5,137229.0,0.0
977,26,Video,AG,13,143163.0,144291.0
978,26,Video,AG,2,148035.0,149373.0
979,26,Video,A,6,153639.0,154815.0
980,26,Video,AG,9,158598.0,159594.0
981,26,Video,G,15,163338.0,0.0
982,26,Video,AG,12,168615.0,170247.0
983,26,Video,G,1,174369.0,175785.0
984,26,Video,A,8,180111.0,0.0
985,26,Video,AG,7,185511.0,187029.0
986,26,Video,G,10,191121.0,191973.0
987,26,Video,A,3,196854.0,0.0
988,26,Video,control,16,201924.0,202953.0
989,26,Video,AG,14,207114.0,207930.0
990,26,Video,AG,4,212058.0,213108.0
991,26,Video,A,11,218253.0,219843.0
992,26,Text,AG,7,39768.0,41784.0
993,26,Text,control,16,44289.0,47217.0
994,26,Text,AG,14,49464.0,51063.0
995,26,Text,AG,4,53262.0,54774.0
996,26,Text,A,8,56613.0,57642.0
997,26,Text,G,10,59418.0,61707.0
998,26,Text,AG,13,63303.0,64572.0
999,26,Text,A,5,66483.0,67668.0
1000,26,Text,AG,12,71172.0,72222.0
1001,26,Text,G,1,73722.0,75192.0
1002,26,Text,G,15,76929.0,78063.0
1003,26,Text,AG,2,79947.0,80883.0
1004,26,Text,A,11,82587.0,83493.0
1005,26,Text,A,3,85248.0,86013.0
1006,26,Text,A,6,87684.0,88944.0
1007,26,Text,AG,9,90843.0,92292.0
1008,26,Text,G,1,94242.0,95349.0
1009,26,Text,AG,12,97449.0,98487.0
1010,26,Text,A,11,100794.0,101733.0
1011,26,Text,A,3,103359.0,105513.0
1012,26,Text,AG,9,108822.0,109749.0
1013,26,Text,AG,2,111639.0,112788.0
1014,26,Text,G,10,114573.0,115953.0
1015,26,Text,A,6,117606.0,118452.0
1016,26,Text,AG,13,121287.0,122223.0
1017,26,Text,A,5,123921.0,124911.0
1018,26,Text,AG,7,126543.0,127443.0
1019,26,Text,AG,4,129048.0,130278.0
1020,26,Text,G,15,132153.0,133332.0
1021,26,Text,AG,14,134706.0,135846.0
1022,26,Text,control,16,137436.0,138672.0
1023,26,Text,A,8,140283.0,141561.0
1024,27,Video,A,5,41856.0,43488.0
1025,27,Video,AG,13,47730.0,49485.0
1026,27,Video,A,3,53436.0,54690.0
1027,27,Video,AG,12,58524.0,59970.0
1028,27,Video,G,15,64029.0,65568.0
1029,27,Video,G,10,69504.0,70800.0
1030,27,Video,A,6,75180.0,75981.0
1031,27,Video,A,8,80433.0,81975.0
1032,27,Video,AG,7,85920.0,87213.0
1033,27,Video,AG,2,91239.0,91935.0
1034,27,Video,A,11,96915.0,97653.0
1035,27,Video,AG,9,103560.0,0.0
1036,27,Video,G,1,108570.0,109899.0
1037,27,Video,AG,4,114039.0,115299.0
1038,27,Video,AG,14,118878.0,120105.0
1039,27,Video,control,16,125568.0,127164.0
1040,27,Video,A,5,131004.0,132408.0
1041,27,Video,A,8,136308.0,137139.0
1042,27,Video,AG,7,141249.0,142173.0
1043,27,Video,AG,13,146574.0,147273.0
1044,27,Video,A,6,151368.0,152163.0
1045,27,Video,G,1,156390.0,158154.0
1046,27,Video,AG,4,161574.0,162705.0
1047,27,Video,control,16,166482.0,167502.0
1048,27,Video,AG,2,171465.0,172179.0
1049,27,Video,A,3,176979.0,177483.0
1050,27,Video,G,10,181899.0,183003.0
1051,27,Video,AG,9,187515.0,188580.0
1052,27,Video,G,15,192738.0,194253.0
1053,27,Video,AG,12,198579.0,199695.0
1054,27,Video,A,11,204027.0,204678.0
1055,27,Video,AG,14,209349.0,210060.0
1056,27,Text,A,3,40764.0,41679.0
1057,27,Text,A,6,43857.0,44613.0
1058,27,Text,AG,4,46803.0,47583.0
1059,27,Text,control,16,49878.0,50619.0
1060,27,Text,AG,9,52233.0,52857.0
1061,27,Text,G,1,54432.0,55017.0
1062,27,Text,G,10,56982.0,57888.0
1063,27,Text,AG,13,59727.0,60453.0
1064,27,Text,A,8,61872.0,62757.0
1065,27,Text,AG,7,64293.0,64947.0
1066,27,Text,A,5,66927.0,67599.0
1067,27,Text,G,15,69102.0,70137.0
1068,27,Text,AG,2,71994.0,72693.0
1069,27,Text,AG,14,74409.0,74889.0
1070,27,Text,A,11,76644.0,77343.0
1071,27,Text,AG,12,79134.0,79584.0
1072,27,Text,G,15,81024.0,81768.0
1073,27,Text,G,10,83538.0,84033.0
1074,27,Text,AG,4,86037.0,87033.0
1075,27,Text,AG,9,88494.0,89469.0
1076,27,Text,A,3,91338.0,91878.0
1077,27,Text,G,1,93747.0,94353.0
1078,27,Text,A,8,96003.0,96807.0
1079,27,Text,AG,2,98274.0,98868.0
1080,27,Text,AG,13,100599.0,101118.0
1081,27,Text,AG,12,102804.0,103233.0
1082,27,Text,AG,14,105093.0,105399.0
1083,27,Text,A,5,107238.0,107742.0
1084,27,Text,A,11,109443.0,110262.0
1085,27,Text,A,6,111669.0,112107.0
